Time,Devicename,Temperature,TDS,PH,DO
Wed Jul 07 2021 14:15:09 GMT+0530 (India Standard Time),867378035207325,29.0625,0,13.61598,9.91
Wed Jul 07 2021 14:16:14 GMT+0530 (India Standard Time),867378035207325,29.0625,0,13.12313,9.9
Wed Jul 07 2021 14:17:18 GMT+0530 (India Standard Time),867378035207325,29,0,13.55723,9.9
Wed Jul 07 2021 14:18:23 GMT+0530 (India Standard Time),867378035207325,29.0625,0,14,9.9
Wed Jul 07 2021 14:19:28 GMT+0530 (India Standard Time),867378035207325,29.0625,0,14,9.9
Wed Jul 07 2021 14:20:33 GMT+0530 (India Standard Time),867378035207325,29.0625,0,12.94361,9.9
Wed Jul 07 2021 14:21:38 GMT+0530 (India Standard Time),867378035207325,29.0625,0,13.02521,9.9
Wed Jul 07 2021 14:22:43 GMT+0530 (India Standard Time),867378035207325,29,0,13.17208,9.9
Wed Jul 07 2021 14:23:47 GMT+0530 (India Standard Time),867378035207325,29,0,13.15577,9.9
Wed Jul 07 2021 15:29:34 GMT+0530 (India Standard Time),867378035207325,28.4375,0,14,9.92
Wed Jul 07 2021 15:30:39 GMT+0530 (India Standard Time),867378035207325,28.375,0,14,9.92
Wed Jul 07 2021 15:31:43 GMT+0530 (India Standard Time),867378035207325,28.375,0,14,9.94
Wed Jul 07 2021 15:32:47 GMT+0530 (India Standard Time),867378035207325,28.375,0,14,9.94
Wed Jul 07 2021 15:33:52 GMT+0530 (India Standard Time),867378035207325,28.375,0,14,9.93
Wed Jul 07 2021 15:34:57 GMT+0530 (India Standard Time),867378035207325,28.375,0,14,9.93
Wed Jul 07 2021 15:36:01 GMT+0530 (India Standard Time),867378035207325,28.375,0,14,9.93
Wed Jul 07 2021 15:37:05 GMT+0530 (India Standard Time),867378035207325,28.375,0,14,9.93
Wed Jul 07 2021 15:38:10 GMT+0530 (India Standard Time),867378035207325,27.8125,162.6732,14,9.94
Wed Jul 07 2021 15:39:15 GMT+0530 (India Standard Time),867378035207325,27.375,115.6431,14,7.92
Wed Jul 07 2021 15:40:20 GMT+0530 (India Standard Time),867378035207325,27.375,124.8149,7.747437,7.71
Wed Jul 07 2021 15:41:25 GMT+0530 (India Standard Time),867378035207325,27.4375,124.9076,7.32313,7.37
Wed Jul 07 2021 15:42:30 GMT+0530 (India Standard Time),867378035207325,27.4375,124.5416,6.892291,7.13
Wed Jul 07 2021 15:43:35 GMT+0530 (India Standard Time),867378035207325,27.4375,127.0223,6.696456,6.96
Wed Jul 07 2021 15:44:40 GMT+0530 (India Standard Time),867378035207325,27.4375,124.819,6.88576,6.81
Wed Jul 07 2021 15:45:44 GMT+0530 (India Standard Time),867378035207325,27.4375,125,6.582215,6.67
Wed Jul 07 2021 15:46:49 GMT+0530 (India Standard Time),867378035207325,27.4375,125.0896,6.559371,6.54
Wed Jul 07 2021 15:47:54 GMT+0530 (India Standard Time),867378035207325,27.4375,126.5262,6.428812,6.42
Wed Jul 07 2021 15:48:59 GMT+0530 (India Standard Time),867378035207325,27.4375,125.3559,6.507146,6.31
Wed Jul 07 2021 15:50:04 GMT+0530 (India Standard Time),867378035207325,27.4375,124.2929,6.438604,6.2
Wed Jul 07 2021 15:51:09 GMT+0530 (India Standard Time),867378035207325,27.4375,124.9115,6.494089,6.09
Wed Jul 07 2021 15:52:14 GMT+0530 (India Standard Time),867378035207325,27.4375,120.5518,6.69319,6
Wed Jul 07 2021 15:53:19 GMT+0530 (India Standard Time),867378035207325,27.4375,126.5957,6.565897,5.84
Wed Jul 07 2021 15:54:24 GMT+0530 (India Standard Time),867378035207325,27.4375,125.1755,6.379853,5.74
Wed Jul 07 2021 15:55:29 GMT+0530 (India Standard Time),867378035207325,27.4375,124.6503,6.41902,5.72
Wed Jul 07 2021 15:56:33 GMT+0530 (India Standard Time),867378035207325,27.4375,124.4768,6.451661,5.7
Wed Jul 07 2021 15:57:38 GMT+0530 (India Standard Time),867378035207325,27.4375,125.0874,6.402702,5.65
Wed Jul 07 2021 15:58:43 GMT+0530 (India Standard Time),867378035207325,27.375,124.565,6.61159,5.58
Wed Jul 07 2021 15:59:47 GMT+0530 (India Standard Time),867378035207325,27.375,126.0501,6.343951,5.54
Wed Jul 07 2021 16:00:51 GMT+0530 (India Standard Time),867378035207325,27.375,126.4868,6.347212,5.5
Wed Jul 07 2021 16:01:56 GMT+0530 (India Standard Time),867378035207325,27.375,127.8101,6.36027,5.46
Wed Jul 07 2021 16:03:01 GMT+0530 (India Standard Time),867378035207325,27.375,128.4314,6.298253,5.42
Wed Jul 07 2021 16:04:06 GMT+0530 (India Standard Time),867378035207325,27.375,128.4314,6.324368,5.37
Wed Jul 07 2021 16:05:10 GMT+0530 (India Standard Time),867378035207325,27.375,129.502,6.229711,5.33
Wed Jul 07 2021 16:06:15 GMT+0530 (India Standard Time),867378035207325,27.375,128.9658,6.281935,5.3
Wed Jul 07 2021 16:07:20 GMT+0530 (India Standard Time),867378035207325,27.375,132.4831,6.327629,5.27
Wed Jul 07 2021 16:08:25 GMT+0530 (India Standard Time),867378035207325,27.375,131.0309,6.164434,5.25
Wed Jul 07 2021 16:09:29 GMT+0530 (India Standard Time),867378035207325,27.375,132.5743,6.409228,5.23
Wed Jul 07 2021 16:10:34 GMT+0530 (India Standard Time),867378035207325,27.375,131.8461,6.813957,5.21
Wed Jul 07 2021 16:11:39 GMT+0530 (India Standard Time),867378035207325,27.375,154.6885,6.813957,5.18
Wed Jul 07 2021 16:12:44 GMT+0530 (India Standard Time),867378035207325,27.375,116.6035,6.383119,5.16
Wed Jul 07 2021 16:13:49 GMT+0530 (India Standard Time),867378035207325,27.375,142.5124,6.174226,5.16
Mon Jul 19 2021 20:17:50 GMT+0530 (India Standard Time),867378035207325,25.4375,0,5.616094,4.21
Mon Jul 19 2021 20:18:55 GMT+0530 (India Standard Time),867378035207325,25.4375,0,5.616094,4.2
Mon Jul 19 2021 20:19:59 GMT+0530 (India Standard Time),867378035207325,25.4375,0.000006188223,5.527968,4.46
Mon Jul 19 2021 20:21:04 GMT+0530 (India Standard Time),867378035207325,25.4375,124.9129,5.462691,4.7
Mon Jul 19 2021 20:22:08 GMT+0530 (India Standard Time),867378035207325,25.4375,125.6112,5.589984,4.34
Mon Jul 19 2021 20:23:13 GMT+0530 (India Standard Time),867378035207325,25.4375,124.9129,5.612829,3.98
Mon Jul 19 2021 20:24:17 GMT+0530 (India Standard Time),867378035207325,25.4375,125.2613,5.580193,3.68
Mon Jul 19 2021 20:25:22 GMT+0530 (India Standard Time),867378035207325,25.4375,125.3486,5.59651,3.44
